ID WHO city,iso3,country,city,pm10,Year,type_of_stations,pm10_type,pm25,pm25_type,reference,latitude,longitude,population,wbinc16_text,region,date_compiled,population_source,tempcov_PM10,tempcov_PM25,latitude_pop,longitude_pop,Region,region_abbr,tempcov_PM10_grad,tempcov_PM25_grad,conc_pm25,color_pm25,conc_pm10,color_pm10
NA,DEU,Germany,Leipzig,21.72112836,2016,"3 Urban-Background, 5 Urban-Traffic",Measured,13.13344261,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.33224388,12.33663675,550752,High income,Eur_HI,2018,8 UN 2015,0.993947329,1,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,20-<30,yellow
NA,DEU,Germany,Leizen,15.87295621,2016,1 Rural-Background,Measured,11.82662211,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],53.396348,12.463929,470,High income,Eur_HI,2018,1 manual,0.988160291,0.988160291,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Leuna,16.10610153,2016,1 Suburban-Industrial,Measured,11.2665618,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.321364,12.032141,14138,High income,Eur_HI,2018,1 old database,0.995673953,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Leverkusen,17.43705067,2016,"1 Suburban-Background, 1 Urban-Traffic",Measured,12.19758913,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.030176,7.0079985,160497,High income,Eur_HI,2018,2 old database,0.990323315,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Limburg An Der Lahn,19.92567654,2016,"1 Urban-Background, 1 Urban-Traffic",Measured,13.93843605,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.3848215,8.0604535,33583,High income,Eur_HI,2018,2 manual,0.991120219,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Lindau (Bodensee),15.80933112,2016,1 Urban-Traffic,Measured,12.21850517,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],47.557473,9.688869,24491,High income,Eur_HI,2018,1 manual,0.999089253,0.967213115,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Lingen (Ems),16.35495444,2016,1 Suburban-Background,Measured,13.01378282,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],52.49855,7.31747,51821,High income,Eur_HI,2018,1 manual,0.994990893,0.993738616,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Lubeck,16.02791005,2016,"4 Urban-Background, 1 Urban-Traffic",Measured,10.43301958,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],53.840841,10.6914128,210305,High income,Eur_HI,2018,5 manual,0.993738616,0.993454008,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Luchow,14.42058546,2016,1 Rural-Background,Measured,11.62231573,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],52.95702,11.16705,287,High income,Eur_HI,2018,1 manual,0.970628415,0.95651184,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Luder,13.47060516,2016,4 Rural-Background,Measured,10.19895541,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],52.800773,10.756733,1260,High income,Eur_HI,2018,4 manual,0.972848361,0.978369763,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Ludwigsburg,19.45553312,2016,"2 Suburban-Background, 1 Urban-Traffic",Measured,13.60956069,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],48.89588867,9.178538,86086,High income,Eur_HI,2018,3 old database,0.993510929,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Ludwigshafen Am Rhein,21.46333293,2016,"1 Urban-Background, 1 Urban-Industrial, 1 Urban-Traffic",Measured,13.4806271,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],49.48304,8.423953667,157584,High income,Eur_HI,2018,3 manual,0.977345173,0.980760474,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,20-<30,yellow
NA,DEU,Germany,Luneburg,14.50143271,2016,1 Suburban-Background,Measured,10.14406171,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],53.24696,10.4565,69905,High income,Eur_HI,2018,1 manual,0.997495446,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Lunen,14.06262409,2016,1 Suburban-Background,Measured,9.837105715,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.592206,7.569838,86010,High income,Eur_HI,2018,1 manual,0.993966302,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,DEU,Germany,Lutherstadt Wittenberg,19.99560806,2016,"1 Urban-Background, 2 Urban-Traffic",Measured,13.98735464,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.868598,12.62006767,24491,High income,Eur_HI,2018,3 calculated,0.990057681,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Magdeburg,20.20674693,2016,"1 Urban-Background, 4 Urban-Traffic",Measured,13.72380698,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],52.1265806,11.628128,228144,High income,Eur_HI,2018,5 manual,0.990095629,0.993852459,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,20-<30,yellow
NA,DEU,Germany,Mainz,19.53004945,2016,"3 Urban-Background, 1 Urban-Traffic",Measured,12.41654609,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.00200025,8.25642625,194282,High income,Eur_HI,2018,4 old database,0.99263813,0.956777474,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
